nPx;nDx;nMx;nqx;nax;lx;ndx;nLx;Tx;ex
63172;148;0,00234;0,00233;0,09;100000;233;99788;8322673;83,23
66677;13;0,0002;0,0002;0,5;99767;20;99757;8222885;82,42
69718;7;0,0001;0,0001;0,4;99747;10;99741;8123128;81,44
72318;7;0,00009;0,00009;0,42;99737;9;99732;8023387;80,45
74513;4;0,00005;0,00005;0,34;99728;5;99725;7923656;79,45
76704;6;0,00007;0,00007;0,48;99723;7;99719;7823931;78,46
78759;6;0,00007;0,00007;0,48;99716;7;99712;7724212;77,46
80630;5;0,00007;0,00007;0,56;99708;7;99705;7624500;76,47
82997;6;0,00007;0,00007;0,46;99702;7;99698;7524795;75,47
85024;5;0,00006;0,00006;0,53;99694;6;99691;7425097;74,48
85824;6;0,00007;0,00007;0,54;99688;7;99685;7325406;73,48
85871;4;0,00005;0,00005;0,5;99682;5;99679;7225721;72,49
85485;5;0,00005;0,00005;0,49;99676;5;99674;7126042;71,49
84249;8;0,00009;0,00009;0,51;99671;9;99666;7026368;70,5
82520;6;0,00007;0,00007;0,41;99662;7;99657;6926702;69,5
80886;12;0,00015;0,00015;0,52;99654;15;99647;6827045;68,51
79396;9;0,00012;0,00012;0,53;99640;12;99634;6727398;67,52
78296;14;0,00018;0,00018;0,56;99628;18;99620;6627764;66,53
77572;15;0,00019;0,00019;0,53;99610;19;99602;6528143;65,54
77149;19;0,00025;0,00025;0,5;99591;25;99579;6428542;64,55
76884;16;0,00021;0,00021;0,57;99567;21;99558;6328963;63,57
76552;18;0,00024;0,00024;0,48;99546;24;99534;6229405;62,58
76735;18;0,00023;0,00023;0,53;99522;23;99511;6129871;61,59
77814;18;0,00023;0,00023;0,49;99499;23;99487;6030360;60,61
79529;20;0,00026;0,00026;0,52;99476;26;99464;5930873;59,62
81577;21;0,00025;0,00025;0,5;99451;25;99438;5831409;58,64
83784;19;0,00023;0,00023;0,52;99425;23;99414;5731971;57,65
85737;25;0,00029;0,00029;0,46;99402;29;99387;5632556;56,66
87233;21;0,00024;0,00024;0,51;99374;23;99362;5533169;55,68
88389;29;0,00033;0,00033;0,53;99350;33;99335;5433807;54,69
89381;34;0,00038;0,00038;0,48;99318;37;99298;5334472;53,71
90797;33;0,00036;0,00036;0,49;99280;36;99262;5235174;52,73
92632;31;0,00033;0,00033;0,47;99244;33;99227;5135913;51,75
94743;38;0,0004;0,0004;0,49;99211;40;99191;5036686;50,77
97582;44;0,00046;0,00045;0,47;99172;45;99148;4937495;49,79
101402;43;0,00042;0,00042;0,48;99127;42;99105;4838347;48,81
105849;49;0,00046;0,00046;0,49;99085;46;99061;4739242;47,83
110746;56;0,00051;0,00051;0,5;99039;50;99014;4640181;46,85
116096;75;0,00064;0,00064;0,51;98988;64;98957;4541168;45,88
121500;81;0,00067;0,00067;0,48;98925;66;98891;4442210;44,9
126180;87;0,00069;0,00069;0,48;98859;68;98824;4343320;43,93
129970;94;0,00072;0,00072;0,5;98791;72;98755;4244496;42,96
132556;112;0,00084;0,00084;0,48;98719;83;98676;4145741;42
133409;122;0,00091;0,00091;0,48;98636;90;98589;4047065;41,03
132723;124;0,00094;0,00094;0,48;98546;92;98497;3948476;40,07
